ticker,field,key,predicted,truth,category
AAPL,segment_revenue,americas,178353.0,178353000000.0,scale_x1e6
AAPL,segment_revenue,china,64377.0,64377000000.0,scale_x1e6
AAPL,segment_revenue,corporate,416161.0,,spurious_key
AAPL,segment_revenue,europe,111032.0,111032000000.0,scale_x1e6
AAPL,segment_revenue,japan,28703.0,28703000000.0,scale_x1e6
AAPL,segment_revenue,rest of asia pacific,33696.0,33696000000.0,scale_x1e6
AAPL,segment_revenue,americas,178353.0,178353000000.0,scale_x1e6
AAPL,segment_revenue,china,64377.0,64377000000.0,scale_x1e6
AAPL,segment_revenue,europe,111032.0,111032000000.0,scale_x1e6
AAPL,segment_revenue,japan,28703.0,28703000000.0,scale_x1e6
AAPL,segment_revenue,rest of asia pacific,33696.0,33696000000.0,scale_x1e6
AMZN,segment_revenue,aws,128725.0,90757000000.0,wrong_value
AMZN,segment_revenue,international,161894.0,131200000000.0,wrong_value
AMZN,segment_revenue,north america,426305.0,352828000000.0,wrong_value
AMZN,segment_revenue,aws,128725.0,90757000000.0,wrong_value
AMZN,segment_revenue,international,161894.0,131200000000.0,wrong_value
AMZN,segment_revenue,north america,426305.0,352828000000.0,wrong_value
CAT,segment_revenue,all other segment,327.0,,spurious_key
CAT,segment_revenue,construction industries,24080.0,25060000000.0,wrong_value
CAT,segment_revenue,financial products segment,4220.0,4220000000.0,scale_x1e6
CAT,segment_revenue,power & energy,32201.0,32201000000.0,scale_x1e6
CAT,segment_revenue,resource industries,12185.0,12474000000.0,wrong_value
CAT,segment_revenue,construction industries,24080.0,25060000000.0,wrong_value
CAT,segment_revenue,financial products segment,4220.0,4220000000.0,scale_x1e6
CAT,segment_revenue,power & energy,32201.0,32201000000.0,scale_x1e6
CAT,segment_revenue,resource industries,12185.0,12474000000.0,wrong_value
GOOGL,segment_revenue,google cloud,33088.0,58705000000.0,wrong_value
GOOGL,segment_revenue,google services,272543.0,342721000000.0,wrong_value
GOOGL,segment_revenue,other bets,1527.0,1537000000.0,wrong_value
GOOGL,segment_revenue,google cloud,33088.0,58705000000.0,wrong_value
GOOGL,segment_revenue,google services,272543.0,342721000000.0,wrong_value
GOOGL,segment_revenue,other bets,1527.0,1537000000.0,wrong_value
JNJ,segment_revenue,innovative medicine,5245.0,,spurious_key
JNJ,segment_revenue,medtech,5118.0,,spurious_key
KO,segment_revenue,asia pacific,47941000.0,,spurious_key
KO,segment_revenue,bottling investments,47941000.0,,spurious_key
KO,segment_revenue,emea,47941000.0,,spurious_key
KO,segment_revenue,latin america,47941000.0,,spurious_key
KO,segment_revenue,north america,47941000.0,,spurious_key
KO,segment_revenue,worldwide,47941000.0,,spurious_key
MSFT,segment_revenue,basic (a/b,13.7,,spurious_key
MSFT,segment_revenue,dilutive effect of stock-based awards,32.0,,spurious_key
MSFT,segment_revenue,interest and dividends income,2647.0,,spurious_key
MSFT,segment_revenue,net gains (losses) on foreign currency remeasurements,171.0,,spurious_key
MSFT,segment_revenue,net income available for common shareholders (a,101832.0,,spurious_key
MSFT,segment_revenue,net recognized gains (losses) on investments,-349.0,,spurious_key
MSFT,segment_revenue,total,-4901.0,,spurious_key
NVDA,segment_revenue,compute & networking,193479.0,193479000000.0,scale_x1e6
NVDA,segment_revenue,graphics,22459.0,22459000000.0,scale_x1e6
NVDA,segment_revenue,total,215938.0,,spurious_key
NVDA,segment_revenue,compute & networking,193479.0,193479000000.0,scale_x1e6
NVDA,segment_revenue,graphics,22459.0,22459000000.0,scale_x1e6
WMT,segment_revenue,sam's club u.s,93.8,,spurious_key
WMT,segment_revenue,walmart international,130.4,130400000000.0,wrong_value
WMT,segment_revenue,walmart u.s,483.0,483000000000.0,wrong_value
WMT,segment_revenue,walmart international,130.4,130400000000.0,wrong_value
WMT,segment_revenue,walmart u.s,483.0,483000000000.0,wrong_value
XOM,segment_revenue,chemical products,173119.0,,spurious_key
XOM,segment_revenue,energy products,452209.0,,spurious_key
XOM,segment_revenue,specialty products,118497.0,,spurious_key
XOM,segment_revenue,upstream,323820.0,,spurious_key
AAPL,geographic_revenue,china,64377.0,64377000000.0,scale_x1e6
